LONG / CV,E,P,GN,BIO,A,HOU
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
2033,0,0,0,0,0,0
2034,0,0,0,0,0,0
2035,0,0,0,0,0,0
BF,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,67717.4
2016,0,0,0,0,0,67717.4
2017,0,0,0,0,0,67717.4
2018,0,0,0,0,0,67717.4
2019,0,0,0,0,0,67717.4
2020,0,0,0,0,0,67717.4
2021,0,0,0,0,0,67717.4
2022,0,0,0,0,0,67717.4
2023,0,0,0,0,0,70355.7
2024,0,0,0,0,0,73095.6
2025,0,0,0,0,0,75801.6
2026,0,0,0,0,0,78474.5
2027,0,0,0,0,0,81112.3
2028,0,0,0,0,0,83716.3
2029,0,0,0,0,0,86284.4
2030,0,0,0,0,0,43357.1
2031,0,0,0,0,0,43357.1
2032,0,0,0,0,0,43357.1
2033,0,0,0,0,0,43357.1
2034,0,0,0,0,0,48921.3
2035,0,0,0,0,0,55854.4
BM,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,284528
2016,0,0,0,0,0,293391
2017,0,0,0,0,0,302254
2018,0,0,0,0,0,311117
2019,0,0,0,0,0,319981
2020,0,0,0,0,0,328844
2021,0,0,0,0,0,337707
2022,0,0,0,0,0,346570
2023,0,0,0,0,0,349046
2024,0,0,0,0,0,351277
2025,0,0,0,0,0,353589
2026,0,0,0,0,0,355982
2027,0,0,0,0,0,358459
2028,0,0,0,0,0,361019
2029,0,0,0,0,0,363665
2030,0,0,0,0,0,347712
2031,0,0,0,0,0,354507
2032,0,0,0,0,0,361466
2033,0,0,0,0,0,368596
2034,0,0,0,0,0,369892
2035,0,0,0,0,0,369892
BD,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
2033,0,0,0,0,0,0
2034,0,0,0,0,0,0
2035,0,0,0,0,0,0
IND,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,25777.9
2016,0,0,0,0,0,21141.1
2017,0,0,0,0,0,16540.9
2018,0,0,0,0,0,11985.7
2019,0,0,0,0,0,9078.32
2020,0,0,0,0,0,9023.35
2021,0,0,0,0,0,9023.35
2022,0,0,0,0,0,9023.35
2023,0,0,0,0,0,9023.35
2024,0,0,0,0,0,9023.35
2025,0,0,0,0,0,9023.35
2026,0,0,0,0,0,9023.35
2027,0,0,0,0,0,9023.35
2028,0,0,0,0,0,9023.35
2029,0,0,0,0,0,9023.35
2030,0,0,0,0,0,9023.35
2031,0,0,0,0,0,9023.35
2032,0,0,0,0,0,9023.35
2033,0,0,0,0,0,9023.35
2034,0,0,0,0,0,9023.35
2035,0,0,0,0,0,9023.35
AGR,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,27719.6
2016,0,0,0,0,0,27719.6
2017,0,0,0,0,0,27719.6
2018,0,0,0,0,0,27719.6
2019,0,0,0,0,0,26116.8
2020,0,0,0,0,0,21706.6
2021,0,0,0,0,0,17287.4
2022,0,0,0,0,0,12914.2
2023,0,0,0,0,0,12336.6
2024,0,0,0,0,0,11950.3
2025,0,0,0,0,0,11563.9
2026,0,0,0,0,0,11177.5
2027,0,0,0,0,0,10791.2
2028,0,0,0,0,0,10404.8
2029,0,0,0,0,0,10018.5
2030,0,0,0,0,0,9701.65
2031,0,0,0,0,0,9701.65
2032,0,0,0,0,0,9701.65
2033,0,0,0,0,0,9701.65
2034,0,0,0,0,0,9701.65
2035,0,0,0,0,0,9701.65
DUMMYHOUSE,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,6.395
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,64074.1
2031,0,0,0,0,0,62206.8
2032,0,0,0,0,0,60228
2033,0,0,0,0,0,58128.6
2034,0,0,0,0,0,56353.1
2035,0,0,0,0,0,54556
IMPP,E,P,GN,BIO,A,HOU
2015,0,3.60527e+06,0,0,0,0
2016,0,3.26365e+06,0,0,0,0
2017,0,2.93086e+06,0,0,0,0
2018,0,2.60741e+06,0,0,0,0
2019,0,2.38856e+06,0,0,0,0
2020,0,2.34215e+06,0,0,0,0
2021,0,2.29991e+06,0,0,0,0
2022,0,2.25855e+06,0,0,0,0
2023,0,2.2472e+06,0,0,0,0
2024,0,2.23718e+06,0,0,0,0
2025,0,2.22699e+06,0,0,0,0
2026,0,2.21663e+06,0,0,0,0
2027,0,2.20609e+06,0,0,0,0
2028,0,2.19536e+06,0,0,0,0
2029,0,2.18446e+06,0,0,0,0
2030,0,1.9453e+06,0,0,0,0
2031,0,1.94406e+06,0,0,0,0
2032,0,1.94282e+06,0,0,0,0
2033,0,1.94158e+06,0,0,0,0
2034,0,1.94154e+06,0,0,0,0
2035,0,1.94176e+06,0,0,0,0
IMPE,E,P,GN,BIO,A,HOU
2015,2.23399e+07,0,0,0,0,0
2016,2.10501e+07,0,0,0,0,0
2017,1.97928e+07,0,0,0,0,0
2018,1.85701e+07,0,0,0,0,0
2019,1.77531e+07,0,0,0,0,0
2020,1.76061e+07,0,0,0,0,0
2021,1.74735e+07,0,0,0,0,0
2022,1.73424e+07,0,0,0,0,0
2023,1.72857e+07,0,0,0,0,0
2024,1.72317e+07,0,0,0,0,0
2025,1.71765e+07,0,0,0,0,0
2026,1.712e+07,0,0,0,0,0
2027,1.70624e+07,0,0,0,0,0
2028,1.70033e+07,0,0,0,0,0
2029,1.6943e+07,0,0,0,0,0
2030,1.50528e+07,0,0,0,0,0
2031,1.50888e+07,0,0,0,0,0
2032,1.51247e+07,0,0,0,0,0
2033,1.51606e+07,0,0,0,0,0
2034,1.51595e+07,0,0,0,0,0
2035,1.51502e+07,0,0,0,0,0
IMPGN,E,P,GN,BIO,A,HOU
2015,0,0,7.06757e+06,0,0,0
2016,0,0,6.36991e+06,0,0,0
2017,0,0,5.69029e+06,0,0,0
2018,0,0,5.02977e+06,0,0,0
2019,0,0,4.57727e+06,0,0,0
2020,0,0,4.46733e+06,0,0,0
2021,0,0,4.36623e+06,0,0,0
2022,0,0,4.26742e+06,0,0,0
2023,0,0,4.24052e+06,0,0,0
2024,0,0,4.217e+06,0,0,0
2025,0,0,4.19327e+06,0,0,0
2026,0,0,4.16933e+06,0,0,0
2027,0,0,4.14517e+06,0,0,0
2028,0,0,4.12078e+06,0,0,0
2029,0,0,4.09616e+06,0,0,0
2030,0,0,3.68427e+06,0,0,0
2031,0,0,3.68047e+06,0,0,0
2032,0,0,3.67667e+06,0,0,0
2033,0,0,3.67288e+06,0,0,0
2034,0,0,3.66785e+06,0,0,0
2035,0,0,3.66256e+06,0,0,0
IMPBIO,E,P,GN,BIO,A,HOU
2015,0,0,0,6.35983e+06,0,0
2016,0,0,0,6.02353e+06,0,0
2017,0,0,0,5.69572e+06,0,0
2018,0,0,0,5.37699e+06,0,0
2019,0,0,0,5.16557e+06,0,0
2020,0,0,0,5.13043e+06,0,0
2021,0,0,0,5.09751e+06,0,0
2022,0,0,0,5.06344e+06,0,0
2023,0,0,0,5.05411e+06,0,0
2024,0,0,0,5.04542e+06,0,0
2025,0,0,0,5.03606e+06,0,0
2026,0,0,0,5.02601e+06,0,0
2027,0,0,0,5.01528e+06,0,0
2028,0,0,0,5.00385e+06,0,0
2029,0,0,0,4.99171e+06,0,0
2030,0,0,0,4.36652e+06,0,0
2031,0,0,0,4.37815e+06,0,0
2032,0,0,0,4.38977e+06,0,0
2033,0,0,0,4.40141e+06,0,0
2034,0,0,0,4.41261e+06,0,0
2035,0,0,0,4.42371e+06,0,0
IMPA,E,P,GN,BIO,A,HOU
2015,0,0,0,0,254901,0
2016,0,0,0,0,241330,0
2017,0,0,0,0,228096,0
2018,0,0,0,0,215220,0
2019,0,0,0,0,205625,0
2020,0,0,0,0,201391,0
2021,0,0,0,0,197354,0
2022,0,0,0,0,193412,0
2023,0,0,0,0,192426,0
2024,0,0,0,0,191578,0
2025,0,0,0,0,190722,0
2026,0,0,0,0,189857,0
2027,0,0,0,0,188983,0
2028,0,0,0,0,188098,0
2029,0,0,0,0,187204,0
2030,0,0,0,0,166445,0
2031,0,0,0,0,166781,0
2032,0,0,0,0,167116,0
2033,0,0,0,0,167452,0
