LONG,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
MTL,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,2.66,89.54,148.61,85.77,120.99,53.07,10.3273,1.60558e+07,1.07269e+08,3.99174e+07,2.29465e+07,1.69474e+06
2016,2.66,89.54,152.621,86.765,57.9918,53.07,0,1.1472e+07,8.97657e+07,3.08968e+07,1.80645e+07,1.53364e+06
2017,0,89.54,157.628,86.765,56.8186,44.091,0,1.11222e+07,8.63203e+07,2.8825e+07,1.78199e+07,1.39448e+06
2018,0,85.2218,162.634,86.765,54.3154,26.535,0,1.0751e+07,8.44619e+07,2.78974e+07,1.73584e+07,1.35936e+06
2019,0,77.541,167.641,86.765,51.8122,26.535,0,1.04615e+07,8.31219e+07,2.73386e+07,1.69383e+07,1.34555e+06
2020,0,69.8816,172.647,86.765,49.309,26.535,0,1.01759e+07,8.17939e+07,2.67859e+07,1.6524e+07,1.33176e+06
2021,0,62.2439,177.653,86.765,46.8058,26.535,0,9.8944e+06,8.04778e+07,2.62393e+07,1.61153e+07,1.318e+06
2022,0,54.6283,182.66,86.765,44.3026,26.535,0,9.61685e+06,7.91736e+07,2.5699e+07,1.57124e+07,1.30426e+06
2023,0,47.0653,187.666,86.765,42.3465,25.9879,0,9.37665e+06,7.80008e+07,2.52245e+07,1.5351e+07,1.29115e+06
2024,0,44.77,192.673,85.0067,42.3465,23.4847,0,9.27058e+06,7.72632e+07,2.49217e+07,1.52148e+07,1.27677e+06
2025,0,44.77,193.198,86.1567,42.3465,20.9815,0,9.19368e+06,7.67244e+07,2.47231e+07,1.50915e+07,1.26738e+06
2026,0,44.6725,193.198,87.7733,42.3465,18.5757,0,9.11932e+06,7.62063e+07,2.45402e+07,1.49632e+07,1.25884e+06
2027,0,42.1693,193.198,90.0624,42.3465,18.5757,0,9.04942e+06,7.5744e+07,2.44169e+07,1.48043e+07,1.25409e+06
2028,0,39.6661,193.198,92.3592,42.3465,18.5757,0,8.97898e+06,7.52748e+07,2.42909e+07,1.46455e+07,1.24917e+06
2029,0,38.2997,193.198,94.2747,42.3465,18.5757,0,8.91069e+06,7.47994e+07,2.41527e+07,1.45064e+07,1.24336e+06
2030,0,37.0481,193.198,80.2173,42.3465,18.5757,120008,8.4269e+06,7.00656e+07,2.25982e+07,1.37942e+07,1.15367e+06
2031,0,37.0481,193.198,83.6151,42.3465,18.5757,105444,8.41521e+06,7.01368e+07,2.263e+07,1.3753e+07,1.15771e+06
2032,0,37.0481,193.198,87.0947,42.3465,18.5757,90325.3,8.40351e+06,7.0208e+07,2.26617e+07,1.37117e+07,1.16176e+06
2033,0,37.0481,193.198,90.6593,42.3465,18.5757,74625.6,8.39182e+06,7.02793e+07,2.26934e+07,1.36705e+07,1.16581e+06
2034,0,37.0481,193.198,94.3119,42.3465,18.5757,58323.6,8.38013e+06,7.03505e+07,2.27251e+07,1.36292e+07,1.16986e+06
2035,0,37.0481,193.198,98.0559,42.3465,18.5757,41393.2,8.36844e+06,7.04217e+07,2.27569e+07,1.3588e+07,1.17391e+06
