LONG,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2028,0,56.5836,100.796,0,23.4388,66.6414,0,2.19536e+06,1.70033e+07,4.12078e+06,5.00385e+06,188098
2029,0,58.3194,101.535,0,23.4388,64.1668,0,2.18446e+06,1.6943e+07,4.09616e+06,4.99171e+06,187204
2030,0,58.6099,103.274,0,23.4388,62.1377,64074.1,1.9453e+06,1.50528e+07,3.68427e+06,4.36652e+06,166445
2031,0,58.6099,103.274,0,23.4388,62.1377,62206.8,1.94406e+06,1.50888e+07,3.68047e+06,4.37815e+06,166781
2032,0,58.6099,103.274,0,23.4388,62.1377,60228,1.94282e+06,1.51247e+07,3.67667e+06,4.38977e+06,167116
2033,0,58.6099,103.274,0,23.4388,62.1377,58128.6,1.94158e+06,1.51606e+07,3.67288e+06,4.40141e+06,167452
2034,0,58.6099,103.274,0,23.4388,62.1377,56353.1,1.94154e+06,1.51595e+07,3.66785e+06,4.41261e+06,167412
2035,0,58.6099,103.274,0,23.4388,62.1377,54556,1.94176e+06,1.51502e+07,3.66256e+06,4.42371e+06,167289
CN,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,0,181.61,70.41,0.01,42.3,1055.98,0,1.20325e+07,5.58219e+07,2.20909e+07,1.6399e+07,601060
2016,0,181.61,70.41,13.5131,29.6115,1055.17,0,7.9825e+06,4.1341e+07,1.51414e+07,1.19766e+07,493361
2017,0,181.61,83.9131,13.5131,29.6115,1041.66,0,6.89029e+06,3.72717e+07,1.31059e+07,1.09894e+07,448231
2018,0,187.495,91.5314,13.5131,29.6115,1028.16,0,6.79755e+06,3.68511e+07,1.28788e+07,1.09242e+07,439602
2019,0,200.998,91.5314,13.5131,29.6115,1014.66,0,6.71138e+06,3.65471e+07,1.27328e+07,1.08412e+07,437533
2020,0,214.501,91.5314,13.5131,29.6115,1001.15,0,6.62584e+06,3.62439e+07,1.25877e+07,1.07583e+07,435451
2021,0,228.004,91.5314,13.5131,29.6115,987.65,0,6.54091e+06,3.59415e+07,1.24435e+07,1.06756e+07,433354
2022,0,236.099,91.5314,16.2174,29.6115,976.851,0,6.46502e+06,3.57152e+07,1.23418e+07,1.0573e+07,433043
2023,0,236.099,91.5314,16.4343,29.6115,976.634,0,6.42291e+06,3.55627e+07,1.22722e+07,1.05297e+07,432219
2024,0,236.099,91.5314,16.4343,29.6115,976.634,0,6.38118e+06,3.54063e+07,1.22009e+07,1.04886e+07,431247
2025,0,236.099,91.5314,16.4343,29.6115,976.634,0,6.33912e+06,3.52472e+07,1.21289e+07,1.04466e+07,430232
